id,name,createddate,lastmodifieddate,ccs_country_code__c,ccs_date_of_birth__c,ccs_email__c,ccs_facility_id__c,ccs_first_name__c,ccs_is_card_needed__c,ccs_last_name__c,ccs_level_of_control__c,ccs_limit__c,ccs_mobile_number__c,ccs_number_of_cards__c,ccs_title__c,createdbyid,currencyisocode,lastmodifiedbyid,_merge
a5V26000000EHRREA4,CD-00002,2023-06-19T10:13:54.000+0000,2023-06-19T10:13:54.000+0000,44,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Miller,Yes,Jones,Standard,50000,12346467,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHRREA4,CD-00002,2023-06-19T10:13:54.000+0000,2023-06-19T10:13:54.000+0000,44,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Miller,Yes,Jones,Standard,50000,12346467,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
a5V26000000EHRvEAO,CD-00008,2023-06-19T10:21:41.000+0000,2023-06-19T10:21:41.000+0000,44,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,David,Yes,Miller,Standard,10000,45435435,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHRvEAO,CD-00008,2023-06-19T10:21:41.000+0000,2023-06-19T10:21:41.000+0000,44,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,David,Yes,Miller,Standard,10000,45435435,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
a5V26000000EHRWEA4,CD-00003,2023-06-19T10:15:15.000+0000,2023-06-19T10:15:15.000+0000,None,1999-12-25,None,a0i26000005nrlNAAQ,JONES,Yes,SCOTT,Standard,100000,2342342,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHRWEA4,CD-00003,2023-06-19T10:15:15.000+0000,2023-06-19T10:15:15.000+0000,nan,1999-12-25,None,a0i26000005nrlNAAQ,JONES,Yes,SCOTT,Standard,100000,2342342,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
a5V26000000EHS0EAO,CD-00009,2023-06-19T10:22:19.000+0000,2023-06-19T10:22:19.000+0000,91,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Vijay,Yes,Kumar,Standard,100000,11215544,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHS0EAO,CD-00009,2023-06-19T10:22:19.000+0000,2023-06-19T10:22:19.000+0000,91,1999-12-25,abc@gmail.com,a0i26000005nrlNAAQ,Vijay,Yes,Kumar,Standard,100000,11215544,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
a5V26000000EHS5EAO,CD-00010,2023-06-19T10:22:59.000+0000,2023-06-19T10:22:59.000+0000,91,1999-12-25,None,a0i26000005nrlNAAQ,Shylesh,Yes,Yalla,Standard,100000,3434343,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHS5EAO,CD-00010,2023-06-19T10:22:59.000+0000,2023-06-19T10:22:59.000+0000,91,1999-12-25,None,a0i26000005nrlNAAQ,Shylesh,Yes,Yalla,Standard,100000,3434343,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
a5V26000000EHSAEA4,CD-00011,2023-06-19T10:23:43.000+0000,2023-06-19T10:25:50.000+0000,44,1999-12-25,abc@ymail.com,a0i26000005nrlNAAQ,Update1,No,Modify1,Standard,200000,12455,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,bigquery_only
a5V26000000EHSAEA4,CD-00011,2023-06-19T10:23:43.000+0000,2023-06-19T10:25:50.000+0000,44,1999-12-25,abc@ymail.com,a0i26000005nrlNAAQ,Update1,No,Modify1,Standard,200000,12455,None,Mr,0052600000A71TrAAJ,GBP,0052600000A71TrAAJ,salesforce_only
